latency energy cost
2437 23262 382
2431 23262 382
2425 23262 382
2423 23262 382
2417 23262 382
2434 23259 382
2426 23259 382
2423 23259 382
2417 23259 382
2447 23094 382
2437 23094 382
2431 23094 382
2425 23094 382
2423 23094 382
2417 23094 382
2439 23091 382
2431 23091 382
2425 23091 382
2423 23091 382
2417 23091 382
2439 23015 431
2431 23015 431
2425 23015 431
2417 23015 431
2417 22982 382
2434 22979 382
2426 22979 382
2417 22979 382
2458 22948 465
2450 22948 465
2442 22948 465
2434 22948 465
2415 23212 382
2413 23150 382
2411 23150 382
2405 23150 382
2419 22926 382
2413 22926 382
2411 22926 382
2405 22926 382
2448 22945 465
2440 22945 465
2434 22945 465
2427 22923 382
2419 22923 382
2413 22923 382
2411 22923 382
2405 22923 382
2467 22847 431
2459 22847 431
2421 22847 431
2413 22847 431
2405 22847 431
2419 22814 382
2413 22814 382
2411 22814 382
2405 22814 382
2421 22811 382
2413 22811 382
2405 22811 382
2431 23231 382
2428 23231 382
2423 23231 382
2420 23231 382
2414 23231 382
2412 23231 382
2406 23231 382
2401 23235 465
2401 22836 465
2401 22833 465
2463 23491 299
2463 23267 299
2463 23264 299
2458 24189 299
2450 24189 299
2442 24189 299
2448 24133 299
2442 24133 299
2458 23965 299
2450 23965 299
2448 23965 299
2442 23965 299
2450 23962 299
2442 23962 299
2438 24021 299
2430 24021 299
2436 24018 299
2430 24018 299
2438 23853 299
2430 23853 299
2436 23850 299
2430 23850 299
2438 23797 299
2430 23797 299
2436 23794 299
2430 23794 299
2450 23962 299
2448 23962 299
2442 23962 299
2463 23264 299
2452 23794 299
2444 23794 299
2436 23794 299
2430 23794 299
2411 23399 382
2423 23926 381
2415 23926 381
2459 23511 381
2459 23287 381
2461 23284 381
2459 23284 381
2411 23873 338
2425 23851 360
2419 23851 360
2411 23851 360
2419 23817 338
2411 23817 338
2419 23814 338
2411 23814 338
2426 23795 360
2426 23761 338
2434 23792 360
2428 23792 360
2426 23792 360
2428 23758 338
2426 23758 338
2423 23397 443
2407 23397 443
2403 24440 443
2403 24462 421
2403 24406 421
2403 24216 443
2403 24182 421
2403 24004 421
2403 23780 421
2403 23419 526
2403 23385 504
2436 23147 382
2430 23147 382
2428 23147 382
2422 23147 382
2424 22979 382
2418 22979 382
2416 22979 382
2410 22979 382
2402 22999 526
2414 22977 443
2406 22977 443
2405 22811 382
2402 23253 465
2402 22999 526
2403 23780 421
2403 23385 504
2430 23794 299
2406 23231 382
2410 22979 382
2411 23399 382
2426 23758 338
2411 23814 338
2463 23264 299
2459 23284 381
2407 23397 443
2406 22977 443
2401 22833 465
